region,Resource,Zone,Existing_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Existing_Cap_MWh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,New_Build,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Resource_Type,THERM,Fuel,FLEX,VRE,MUST_RUN,Num_VRE_Bins,HYDRO,STOR,Min_Duration,Max_Duration,Existing_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh_In,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Min_Power,Self_Disch,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,cluster,ESR_1,MinCapTag_1,MinCapTag_2
QLD,QLD_solar,1,3062.085,0,17613.7587,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,solar,0,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
QLD,QLD_solar_2030,1,0,47193.3157,18089.3119,0,0,1,1,0,0,0,1,1,0,1,50225,0,0,0,solar,0,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
QLD,QLD_wind,1,826.408,0,25917.8322,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,wind,0,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
QLD,QLD_wind_2030,1,0,84536.6203,26617.5867,0,0,1,1,0,0,0,1,1,0,1,31410,0,0,0,wind,0,None,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
QLD,QLD_hydro,1,152.4,0,61136.7257,7.5463,0,1,1,0,0,0,1,1,1154.1667,-1,0,0,0,0,hydro,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
QLD,QLD_PHES,1,820,0,61136.7257,7.5463,0,1,1,7700,0,0,0.7183,1,0,-1,0,0,0,0,PHES,0,None,0,0,0,0,0,1,8.451219512,10.32926829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
QLD,QLD_PHES_2030,1,0,55716.3921,16792.9204,0,0,1,1,0,1163.5197,0,0.76,1,0,1,8100,-1,0,0,PHES,0,None,0,0,0,0,0,1,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
QLD,QLD_battery,1,100,0,10688.514,0,0,1,1,150,0,0,0.9168,0.9168,0,0,0,0,0,0,battery,0,None,0,0,0,0,0,1,1.35,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
QLD,QLD_battery_2030,1,0,25086.6995,15649.1871,0,0,1,1,0,10418.9694,0,0.917,0.917,0,1,-1,-1,0,0,battery,0,None,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
QLD,QLD_coal,1,7426,0,55836.4602,4.4186,9.682,0.7433,0.7433,0,0,0,1,1,0,0,0,0,0,0,coal,1,coal_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_coal_2030,1,0,154362.5111,55153.1469,4.3658,9.3087,0.6161,0.603,0,0,0,1,1,0,1,-1,0,0,0,coal,1,coal_new_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_coalccs_2030,1,0,320697.3111,80.6563,8.2442,15.1201,0.6161,0.603,0,0,0,1,1,0,1,-1,0,0,0,coalccs,1,coalccs_new_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_CCGT,1,1597.9,0,11020.354,7.7352,8.1815,1.5558,1.5558,0,0,0,1,1,0,0,0,0,0,0,CCGT,1,gasCCGT_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_CCGT_2030,1,0,75084.8733,11300.1748,3.8369,7.6483,1.6407,1.8483,0,0,0,1,1,0,1,-1,0,0,0,CCGT,1,gasCCGT_new_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_CCGTccs_2030,1,0,184737.2533,16950.2622,7.4664,9.4295,1.6407,1.8483,0,0,0,1,1,0,1,-1,0,0,0,CCGTccs,1,gasCCGTccs_new_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_OCGT,1,1531,0,15902.9273,11.0518,12.3328,5.64,5.64,0,0,0,1,1,0,0,0,0,0,0,OCGT,1,gasOCGT_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_OCGT_2030,1,0,51700.5233,11818.5315,3.3702,11.1422,5.64,5.64,0,0,0,1,1,0,1,-1,0,0,0,OCGT,1,gasOCGT_new_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_liquidOCGT,1,423.5,0,15902.9273,11.0518,12.5353,5.64,5.64,0,0,0,1,1,0,0,0,0,0,0,liquidOCGT,1,liquidOCGT_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_biomass_2030,1,0,254191.0444,136431.4685,8.7315,14.4924,0.6161,0.603,0,0,0,1,1,0,1,-1,0,0,0,biomass,1,biomass_new_QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,4,0,0,0,0,0,1,0,0,0
QLD,QLD_RTPV,1,5712.204061,0,0,0,0,1,1,0,0,0,1,1,0,-1,0,0,0,0,solar,0,None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
QLD,QLD_NSGPV,1,423.9674546,0,0,0,0,1,1,0,0,0,1,1,0,-1,0,0,0,0,solar,0,None,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
